# Matter power spectrum P(k) at redshift z=4
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       3.368196264850e+00 
       2.330927604903e-05       7.290922494192e+00 
       3.621997333865e-05       1.114044330943e+01 
       4.921047778906e-05       1.495999336253e+01 
       6.231601551152e-05       1.877390928040e+01 
       7.557269794060e-05       2.260026838838e+01 
       8.901784518625e-05       2.645442505441e+01 
       1.026903236755e-04       3.035045509733e+01 
       1.166309024082e-04       3.430189269568e+01 
       1.308826321835e-04       3.832217390279e+01 
       1.454912521628e-04       4.242494236480e+01 
       1.605056280722e-04       4.662428539200e+01 
       1.759782261780e-04       5.093493416460e+01 
       1.919656267993e-04       5.537244533807e+01 
       2.085290804757e-04       5.995337448344e+01 
       2.257351088475e-04       6.469544693924e+01 
       2.436561506599e-04       6.961772892374e+01 
       2.623712508693e-04       7.474079961680e+01 
       2.819667873218e-04       8.008692407061e+01 
       3.025372245862e-04       8.568022251433e+01 
       3.241858778616e-04       9.154683306218e+01 
       3.470256610625e-04       9.771505745150e+01 
       3.711797818235e-04       1.042154806653e+02 
       3.967823320131e-04       1.110810485294e+02 
       4.239787054162e-04       1.183470834262e+02 
       4.529257550406e-04       1.260512143859e+02 
       4.837915823589e-04       1.342331915327e+02 
       5.167548321797e-04       1.429345526055e+02 
       5.520033538042e-04       1.521981054939e+02 
       5.897320873923e-04       1.620671944921e+02 
       6.301400513409e-04       1.725847247293e+02 
       6.734263498083e-04       1.837919331527e+02 
       7.197851957643e-04       1.957269216155e+02 
       7.694000560484e-04       2.084229993720e+02 
       8.224371645858e-04       2.219069226444e+02 
       8.790388005590e-04       2.361971558371e+02 
       9.393168607785e-04       2.513023191724e+02 
       1.003347333412e-03       2.672199917822e+02 
       1.071166270046e-03       2.839360284432e+02 
       1.142767736947e-03       3.014245019311e+02 
       1.218104013123e-03       3.196483140951e+02 
       1.297088030040e-03       3.385604274499e+02 
       1.379597773116e-03       3.581047245745e+02 
       1.465482147216e-03       3.782187540505e+02 
       1.554567688694e-03       3.988387901313e+02 
       1.646665496857e-03       4.198974890156e+02 
       1.741577841598e-03       4.413274895942e+02 
       1.839104046123e-03       4.630629526725e+02 
       1.939045405158e-03       4.850407542917e+02 
       2.041209047508e-03       5.072013351387e+02 
       2.145410768168e-03       5.294892298645e+02 
       2.251476932713e-03       5.518533132114e+02 
       2.359245598051e-03       5.742469825910e+02 
       2.468567006640e-03       5.966279377503e+02 
       2.579303604901e-03       6.189581488648e+02 
       2.691329719073e-03       6.412036503565e+02 
       2.804530999458e-03       6.633342778355e+02 
       2.918803721038e-03       6.853232598069e+02 
       3.034054007417e-03       7.071472717895e+02 
       3.150197027005e-03       7.287857723043e+02 
       3.267156195714e-03       7.502210743119e+02 
       3.384862409045e-03       7.714377989917e+02 
       3.503253317780e-03       7.924229022873e+02 
       3.622272655202e-03       8.131650347411e+02 
       3.741869619321e-03       8.336548550713e+02 
       3.861998310469e-03       8.538842674003e+02 
       3.982617222655e-03       8.738466483391e+02 
       4.103688785824e-03       8.935363402197e+02 
       4.225178955423e-03       9.129491755807e+02 
       4.347056845410e-03       9.320811831790e+02 
       4.469294400732e-03       9.509297931198e+02 
       4.591866105418e-03       9.694926284544e+02 
       4.714748722622e-03       9.877682869264e+02 
       4.837921063216e-03       1.005755771025e+03 
       4.961363779812e-03       1.023454515097e+03 
       5.085059183374e-03       1.040864308084e+03 
       5.208991079894e-03       1.057985478414e+03 
       5.333144624820e-03       1.074818410214e+03 
       5.457506193240e-03       1.091364536556e+03 
       5.582063263989e-03       1.107624558211e+03 
       5.706804316112e-03       1.123599967372e+03 
       5.831718736247e-03       1.139292673765e+03 
       5.956796735702e-03       1.154703620302e+03 
       6.082029276119e-03       1.169835938889e+03 
       6.207408002756e-03       1.184690838742e+03 
       6.332925184544e-03       1.199270234396e+03 
       6.458573660149e-03       1.213576449411e+03 
       6.584346789399e-03       1.227612299045e+03 
       6.710238409469e-03       1.241379461737e+03 
       6.836242795317e-03       1.254878674060e+03 
       6.962354623925e-03       1.268110373632e+03 
       7.088568941917e-03       1.281076497156e+03 
       7.214881136221e-03       1.293780956605e+03 
       7.341286907449e-03       1.306225638897e+03 
       7.467782245706e-03       1.318413915677e+03 
       7.594363408599e-03       1.330348890038e+03 
       7.721026901212e-03       1.342033061076e+03 
       7.847769457842e-03       1.353468516439e+03 
       7.974588025348e-03       1.364659536604e+03 
       8.101479747930e-03       1.375608212886e+03 
       8.228441953207e-03       1.386316843991e+03 
       8.355472139485e-03       1.396789421355e+03 
       8.482567964073e-03       1.407028439349e+03 
       8.609727232581e-03       1.417036859128e+03 
       8.736947889087e-03       1.426816985533e+03 
       8.864228007095e-03       1.436371704484e+03 
       8.991565781234e-03       1.445704399325e+03 
       9.118959519597e-03       1.454817361935e+03 
