# Matter power spectrum P(k) at redshift z=4
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       5.274018902908e+00 
       2.330927604903e-05       7.570753727242e+00 
       3.621997333865e-05       1.139719744597e+01 
       4.921047778906e-05       1.522371434923e+01 
       6.231601551152e-05       1.897978156716e+01 
       7.557269794060e-05       2.277148356003e+01 
       8.901784518625e-05       2.659808968375e+01 
       1.026903236755e-04       3.048053623395e+01 
       1.166309024082e-04       3.439391574324e+01 
       1.308826321835e-04       3.840078959540e+01 
       1.454912521628e-04       4.248984012658e+01 
       1.605056280722e-04       4.668990433784e+01 
       1.759782261780e-04       5.099532724405e+01 
       1.919656267993e-04       5.542010840427e+01 
       2.085290804757e-04       6.000046662725e+01 
       2.257351088475e-04       6.473851662645e+01 
       2.436561506599e-04       6.965617931688e+01 
       2.623712508693e-04       7.477511797537e+01 
       2.819667873218e-04       8.011942181036e+01 
       3.025372245862e-04       8.571145470429e+01 
       3.241858778616e-04       9.157432166934e+01 
       3.470256610625e-04       9.774218963144e+01 
       3.711797818235e-04       1.042395051315e+02 
       3.967823320131e-04       1.111040512468e+02 
       4.239787054162e-04       1.183679153717e+02 
       4.529257550406e-04       1.260709786232e+02 
       4.837915823589e-04       1.342509273437e+02 
       5.167548321797e-04       1.429512424949e+02 
       5.520033538042e-04       1.522146969672e+02 
       5.897320873923e-04       1.620831619010e+02 
       6.301400513409e-04       1.725993670424e+02 
       6.734263498083e-04       1.838052519612e+02 
       7.197851957643e-04       1.957397252561e+02 
       7.694000560484e-04       2.084342924831e+02 
       8.224371645858e-04       2.219175350333e+02 
       8.790388005590e-04       2.362076264845e+02 
       9.393168607785e-04       2.513119238701e+02 
       1.003347333412e-03       2.672288868132e+02 
       1.071166270046e-03       2.839445222856e+02 
       1.142767736947e-03       3.014325658442e+02 
       1.218104013123e-03       3.196559879639e+02 
       1.297088030040e-03       3.385676870231e+02 
       1.379597773116e-03       3.581119502969e+02 
       1.465482147216e-03       3.782254869619e+02 
       1.554567688694e-03       3.988452172762e+02 
       1.646665496857e-03       4.199037052997e+02 
       1.741577841598e-03       4.413334680058e+02 
       1.839104046123e-03       4.630689140498e+02 
       1.939045405158e-03       4.850468932472e+02 
       2.041209047508e-03       5.072069979473e+02 
       2.145410768168e-03       5.294952576070e+02 
       2.251476932713e-03       5.518596559917e+02 
       2.359245598051e-03       5.742532790398e+02 
       2.468567006640e-03       5.966344272773e+02 
       2.579303604901e-03       6.189647051606e+02 
       2.691329719073e-03       6.412103593564e+02 
       2.804530999458e-03       6.633410683278e+02 
       2.918803721038e-03       6.853301769484e+02 
       3.034054007417e-03       7.071544391958e+02 
       3.150197027005e-03       7.287938640760e+02 
       3.267156195714e-03       7.502288563754e+02 
       3.384862409045e-03       7.714458750333e+02 
       3.503253317780e-03       7.924317734340e+02 
       3.622272655202e-03       8.131743691148e+02 
       3.741869619321e-03       8.336641547825e+02 
       3.861998310469e-03       8.538936401195e+02 
       3.982617222655e-03       8.738574430723e+02 
       4.103688785824e-03       8.935457163613e+02 
       4.225178955423e-03       9.129599548050e+02 
       4.347056845410e-03       9.320913880728e+02 
       4.469294400732e-03       9.509412380537e+02 
       4.591866105418e-03       9.695062133069e+02 
       4.714748722622e-03       9.877817095363e+02 
       4.837921063216e-03       1.005769263054e+03 
       4.961363779812e-03       1.023468277692e+03 
       5.085059183374e-03       1.040877985244e+03 
       5.208991079894e-03       1.058000427869e+03 
       5.333144624820e-03       1.074835047280e+03 
       5.457506193240e-03       1.091381076641e+03 
       5.582063263989e-03       1.107643353992e+03 
       5.706804316112e-03       1.123616622770e+03 
       5.831718736247e-03       1.139312456693e+03 
       5.956796735702e-03       1.154723878068e+03 
       6.082029276119e-03       1.169854292567e+03 
       6.207408002756e-03       1.184710099135e+03 
       6.332925184544e-03       1.199291917054e+03 
       6.458573660149e-03       1.213595949339e+03 
       6.584346789399e-03       1.227632294933e+03 
       6.710238409469e-03       1.241400557774e+03 
       6.836242795317e-03       1.254898344681e+03 
       6.962354623925e-03       1.268131920765e+03 
       7.088568941917e-03       1.281101392117e+03 
       7.214881136221e-03       1.293803883368e+03 
       7.341286907449e-03       1.306248533585e+03 
       7.467782245706e-03       1.318439848572e+03 
       7.594363408599e-03       1.330374357215e+03 
       7.721026901212e-03       1.342058883790e+03 
       7.847769457842e-03       1.353494699045e+03 
       7.974588025348e-03       1.364687660130e+03 
       8.101479747930e-03       1.375637341526e+03 
       8.228441953207e-03       1.386346994115e+03 
       8.355472139485e-03       1.396818086589e+03 
       8.482567964073e-03       1.407057866641e+03 
       8.609727232581e-03       1.417065647053e+03 
       8.736947889087e-03       1.426847590487e+03 
       8.864228007095e-03       1.436404843969e+03 
       8.991565781234e-03       1.445736153473e+03 
       9.118959519597e-03       1.454851140878e+03 
       9.246407636696e-03       1.463747210397e+03 
       9.373908646961e-03       1.472430514964e+03 
       9.501461158736e-03       1.480902113519e+03 
       9.629063868741e-03       1.489165042109e+03 
       9.756715556949e-03       1.497223321037e+03 
       9.884415081846e-03       1.505080383771e+03 
       1.001216137605e-02       1.512732260531e+03 
       1.013995344226e-02       1.520185687422e+03 
       1.026779034945e-02       1.527446322236e+03 
       1.039567122945e-02       1.534512008420e+03 
       1.052359527365e-02       1.541385237941e+03 
       1.065156173003e-02       1.548069264092e+03 
       1.077956990033e-02       1.554566531369e+03 
       1.090761913753e-02       1.560881173815e+03 
       1.103570884337e-02       1.567011472854e+03 
       1.116383846614e-02       1.572960659275e+03 
       1.129200749860e-02       1.578730480896e+03 
       1.142021547607e-02       1.584322101797e+03 
       1.154846197458e-02       1.589740257805e+03 
       1.167674660921e-02       1.594983189459e+03 
       1.180506903257e-02       1.600055104068e+03 
       1.193342893331e-02       1.604956972791e+03 
       1.206182603478e-02       1.609691309794e+03 
       1.219026009379e-02       1.614257068870e+03 
       1.231873089943e-02       1.618659244602e+03 
       1.244723827200e-02       1.622896034720e+03 
       1.257578206201e-02       1.626973447876e+03 
       1.270436214921e-02       1.630889873284e+03 
       1.283297844177e-02       1.634647805709e+03 
       1.296163087546e-02       1.638250033572e+03 
       1.309031941289e-02       1.641698649719e+03 
       1.321904404286e-02       1.644994058459e+03 
       1.334780477969e-02       1.648138076739e+03 
       1.347660166266e-02       1.651132723078e+03 
       1.360543475546e-02       1.653982608167e+03 
       1.373430414573e-02       1.656685765743e+03 
       1.386320994454e-02       1.659248280142e+03 
       1.399215228605e-02       1.661668465130e+03 
       1.412113132712e-02       1.663949925587e+03 
       1.425014724695e-02       1.666094678900e+03 
       1.437920024678e-02       1.668104430928e+03 
       1.450829054966e-02       1.669982106879e+03 
       1.463741840014e-02       1.671728586566e+03 
       1.476658406415e-02       1.673345673512e+03 
       1.489578782874e-02       1.674835663479e+03 
       1.502503000195e-02       1.676199927427e+03 
       1.515431091271e-02       1.677440146107e+03 
       1.528363091071e-02       1.678558947921e+03 
       1.541299036631e-02       1.679555732967e+03 
       1.554238967050e-02       1.680434442300e+03 
