# Matter power spectrum P(k) at redshift z=0
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       5.248564080529e+01 
       2.330927604903e-05       1.136121285385e+02 
       3.621997333865e-05       1.735973764231e+02 
       4.921047778906e-05       2.331148176883e+02 
       6.231601551152e-05       2.925434001327e+02 
       7.557269794060e-05       3.521645040658e+02 
       8.901784518625e-05       4.122170610581e+02 
       1.026903236755e-04       4.729200329892e+02 
       1.166309024082e-04       5.344838981312e+02 
       1.308826321835e-04       5.971175517343e+02 
       1.454912521628e-04       6.610330499837e+02 
       1.605056280722e-04       7.264492784012e+02 
       1.759782261780e-04       7.935950568862e+02 
       1.919656267993e-04       8.627119467809e+02 
       2.085290804757e-04       9.340569286279e+02 
       2.257351088475e-04       1.007905041020e+03 
       2.436561506599e-04       1.084552011043e+03 
       2.623712508693e-04       1.164316902819e+03 
       2.819667873218e-04       1.247544764548e+03 
       3.025372245862e-04       1.334609220710e+03 
       3.241858778616e-04       1.425914953843e+03 
       3.470256610625e-04       1.521899913134e+03 
       3.711797818235e-04       1.623037116569e+03 
       3.967823320131e-04       1.729835797878e+03 
       4.239787054162e-04       1.842841589846e+03 
       4.529257550406e-04       1.962635393397e+03 
       4.837915823589e-04       2.089830462073e+03 
       5.167548321797e-04       2.225067212388e+03 
       5.520033538042e-04       2.369005247006e+03 
       5.897320873923e-04       2.522312054089e+03 
       6.301400513409e-04       2.685648054774e+03 
       6.734263498083e-04       2.859647792017e+03 
       7.197851957643e-04       3.044897528939e+03 
       7.694000560484e-04       3.241909982285e+03 
       8.224371645858e-04       3.451097434268e+03 
       8.790388005590e-04       3.672745199469e+03 
       9.393168607785e-04       3.906987826133e+03 
       1.003347333412e-03       4.153790594985e+03 
       1.071166270046e-03       4.412938701494e+03 
       1.142767736947e-03       4.684035913549e+03 
       1.218104013123e-03       4.966513305037e+03 
       1.297088030040e-03       5.259647524163e+03 
       1.379597773116e-03       5.562573337059e+03 
       1.465482147216e-03       5.874325385008e+03 
       1.554567688694e-03       6.193916348504e+03 
       1.646665496857e-03       6.520299932381e+03 
       1.741577841598e-03       6.852426898481e+03 
       1.839104046123e-03       7.189269243988e+03 
       1.939045405158e-03       7.529839382166e+03 
       2.041209047508e-03       7.873204450559e+03 
       2.145410768168e-03       8.218495488541e+03 
       2.251476932713e-03       8.564912411763e+03 
       2.359245598051e-03       8.911727262718e+03 
       2.468567006640e-03       9.258281458092e+03 
