#M_DM	Log[10,E]	dN/dE (electrons)	dN/dE (photons)	dN/dE (other particles)
70	-7.15	0.0000e+00	0.0000e+00	0.0000e+00
70	-7.10	0.0000e+00	0.0000e+00	0.0000e+00
70	-7.05	0.0000e+00	0.0000e+00	0.0000e+00
70	-7.00	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.95	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.90	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.85	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.80	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.75	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.70	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.65	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.60	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.55	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.50	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.45	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.40	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.35	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.30	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.25	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.20	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.15	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.10	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.05	0.0000e+00	0.0000e+00	0.0000e+00
70	-6.00	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.95	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.90	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.85	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.80	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.75	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.70	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.65	0.0000e+00	0.0000e+00	0.0000e+00
70	-5.60	0.0000e+00	8.7434e+00	0.0000e+00
70	-5.55	0.0000e+00	3.1170e+01	0.0000e+00
70	-5.50	0.0000e+00	9.0286e+01	0.0000e+00
70	-5.45	2.4759e-02	7.4823e+01	0.0000e+00
70	-5.40	0.0000e+00	1.1144e+02	0.0000e+00
70	-5.35	0.0000e+00	6.5432e+01	0.0000e+00
70	-5.30	0.0000e+00	1.0166e+02	0.0000e+00
70	-5.25	0.0000e+00	7.9282e+01	0.0000e+00
70	-5.20	0.0000e+00	7.7733e+01	0.0000e+00
70	-5.15	0.0000e+00	1.0558e+02	0.0000e+00
70	-5.10	1.1060e-02	9.1452e+01	0.0000e+00
70	-5.05	0.0000e+00	7.9042e+01	9.8568e-03
70	-5.00	8.7849e-03	6.4086e+01	0.0000e+00
70	-4.95	0.0000e+00	6.9331e+01	7.8296e-03
70	-4.90	6.9781e-03	6.9432e+01	0.0000e+00
70	-4.85	1.2438e-02	6.0289e+01	0.0000e+00
70	-4.80	0.0000e+00	6.3960e+01	5.5429e-03
70	-4.75	4.9401e-03	5.8180e+01	0.0000e+00
70	-4.70	1.3209e-02	5.6485e+01	1.3209e-02
70	-4.65	0.0000e+00	4.6328e+01	7.8482e-03
70	-4.60	3.4973e-03	5.6314e+01	3.4973e-03
70	-4.55	9.3510e-03	4.3676e+01	3.1170e-03
70	-4.50	0.0000e+00	3.5209e+01	2.7780e-03
70	-4.45	2.4759e-03	3.4856e+01	2.4759e-03
70	-4.40	2.2067e-03	3.1405e+01	6.6200e-03
70	-4.35	3.9334e-03	2.7451e+01	3.9334e-03
70	-4.30	0.0000e+00	3.1214e+01	7.0113e-03
70	-4.25	1.5622e-03	2.5775e+01	3.1244e-03
70	-4.20	6.9616e-03	1.6361e+01	6.9616e-03
70	-4.15	1.2409e-03	2.0360e+01	6.2045e-03
70	-4.10	1.1060e-03	1.6866e+01	7.7417e-03
70	-4.05	1.9714e-03	1.6017e+01	4.9284e-03
70	-4.00	2.6355e-03	1.7789e+01	7.9064e-03
70	-3.95	1.5659e-03	1.6468e+01	4.6977e-03
70	-3.90	2.0934e-03	1.6766e+01	9.0715e-03
70	-3.85	6.8412e-03	1.3271e+01	6.2192e-03
70	-3.80	5.5429e-03	1.0873e+01	5.5429e-03
70	-3.75	5.9282e-03	1.0457e+01	4.9401e-03
70	-3.70	2.2014e-03	9.5353e+00	3.5223e-03
70	-3.65	3.1393e-03	1.0068e+01	5.8861e-03
70	-3.60	2.7979e-03	7.6060e+00	5.2460e-03
70	-3.55	4.3638e-03	7.8704e+00	5.6106e-03
70	-3.50	2.7780e-03	7.5007e+00	7.5007e-03
70	-3.45	2.2283e-03	6.5511e+00	5.9422e-03
70	-3.40	3.7513e-03	4.9189e+00	7.0614e-03
70	-3.35	2.5567e-03	5.3956e+00	4.9167e-03
70	-3.30	2.8045e-03	5.0213e+00	4.0315e-03
70	-3.25	3.1244e-03	3.6345e+00	6.5613e-03
70	-3.20	3.3416e-03	4.7276e+00	4.4554e-03
70	-3.15	3.5986e-03	3.2285e+00	4.4673e-03
70	-3.10	3.7603e-03	3.3890e+00	5.9722e-03
70	-3.05	3.3513e-03	3.0106e+00	7.0969e-03
70	-3.00	3.7775e-03	2.4076e+00	5.2710e-03
70	-2.95	2.7403e-03	2.2934e+00	5.2458e-03
70	-2.90	2.2330e-03	2.0003e+00	5.5825e-03
70	-2.85	3.0474e-03	1.9726e+00	6.2192e-03
70	-2.80	3.2149e-03	1.8846e+00	4.2680e-03
70	-2.75	3.4087e-03	1.4277e+00	5.8293e-03
70	-2.70	3.7865e-03	1.4188e+00	6.5163e-03
70	-2.65	3.4924e-03	1.3616e+00	5.7292e-03
70	-2.60	3.9520e-03	9.3320e-01	5.7356e-03
70	-2.55	3.2105e-03	1.0189e+00	6.1405e-03
70	-2.50	3.4170e-03	9.9854e-01	6.3895e-03
70	-2.45	3.5653e-03	7.0094e-01	5.5956e-03
70	-2.40	3.1997e-03	6.5161e-01	5.4505e-03
